Region300	Event Town
닫혀진_광산_2층_입구	Closed Mine 1st Floor Entrance
닫혀진_광산_2층_출구	Closed Mine 1st Floor Exit
닫혀진_광산_3층	Closed Mine 2nd Floor
닫혀진_광산_3층_입구	Closed Mine 2nd Floor Entrance
닫혀진_광산_3층_출구	Closed Mine 2nd Floor Exit
닫혀진_광산_입구	Closed Mine Entrance
닫혀진_광산_출구	Closed Mine Exit
대기실	Chamber of Time
대장의 정원	General's Garden
데드라인	Dead Line
데리벨	Deribelle
데리벨 길드 전투 경기장	Deribelle Guild Battle Arena
데리벨 남문	Deribelle South Gate
데리벨 남시가지	Deribelle South Town
데리벨 동문	Deribelle East Gate
데리벨 동시가지	Deribelle East Town
데리벨 북문	Deribelle North Gate
데리벨 서문	Deribelle West Gate
데리벨 서시가지	Deribelle West Town
데리벨 중앙로	Deribelle Main Street
데리벨 행 포탈	Portal bound for Deribelle
데리벨_길드_전투_경기장	Deribelle Guild Battle Arena
델파라스	Delfaras
델파라스 북부	North Delfaras
델파라스 중앙광장	Delfaras Central Square
델파라스 항구	Delfaras Harbor
도시 데리벨	Deribelle City
도시 델파라스	Delfaras City
도시 라플레시아	Laflesia City
도시 엘로르	Ellore City
도시 자일록	Zylok City
도시 쿤	Kuhn City
도시 툴란	Tullan City
도시 트릴가드	Trilgard City
독 정령계	Evergreen Paradise
독_정령계	Evergreen Paradise
독의 쉬라인	Poison Shrine
독의 쉬라인 드래곤시온지역	Poison Shrine Dragonscion Zone
독의 쉬라인 문엘프지역	Poison Shrine Moon Elf Zone
독의 쉬라인 오크지역	Poison Shrine Orc Zone
독의 쉬라인 외곽	Poison Shrine Outskirts
독의 쉬라인 포탈(문엘프)	Poison Shrine(MoonElf)
독의 쉬라인 포탈(시온)	Poison Shrine(Scion)
독의 쉬라인 포탈(오크)	Poison Shrine(Orc)
독의 쉬라인 포탈(휴먼)	Poison Shrine(Human)
독의 쉬라인 휴먼지역	Poison Shrine Human Zone
돌아오지 않는 길	Gauntlet Pass
동쪽분지	East Branch
드라카로 성전	Drakaro Church
드라카로_성전	Drakaro Church
드래곤시온 요새	DragonScion Fortress
드래곤시온 요새 입구	DragonScion Fortress Entrance
드래곤시온 지역	DragonScion Territory
드래곤시온_요새	DragonScion Fortress
드래곤시온_지역	DragonScion Territory
드래곤시온요새	Dragonscion Fortress
드래곤시온지역	Dragonscion Zone
드래곤여관터	Dragon Inn
드래곤의 레어	Dragon's Lair
드래이거 내부	Drayger Inside
드래이거 내성문	Drayger Castle Internal Gate
드래이거 렌스피어 입구	Drayger Rensphere Entrance
드래이거 비밀의 던전	Secret Dungeon of Drayger
드래이거 비밀의 던전 입구	Entrance to the Secret Dungeon of Drayger
드래이거 성	Drayger Castle
드래이거 성 내부	Drayger Castle Inside
드래이거 성 성주 사냥터	Drayger Castle Secret Dungeon
드래이거 성 인근	Drayger Castle Vicinity
드래이거 성주 사냥터	Drayger Secret Dungeon
드래이거 성주 사냥터 입구	Drayger Secret Dungeon Entrance
드래이거 외성문	Drayger External Gate
드래이거_성	Drayger Castle
드래이거_성_인근	Drayger Castle Vicinity
드래이거_성주_사냥터	Drayger Secret Dungeon
드래이거_성주_사냥터_입구	Drayger Secret Dungeon Entrance
드레이거 성 진입로	Drayger approach
드레이거 행 포탈	Portal bound for Drayger
디난트야드	Dinant Yard
디스호프의 땅	Land of Dishope
땅끝해안	Viper Beach
땅이 우는 곳	Lamentia
라임라이트	Limelight
라임라이트 남쪽	Limelight Southern
라임라이트 북쪽	Limelight Northern
라임라이트_남쪽	Limelight Southern
라임라이트_북쪽	Limelight Northern
라임호수	Lime Lake
라트리아	Latria
라트리아 남쪽	Latria Southern
라트리아_남쪽	Latria Southern
라플레시아	Laflesia
란파	Ranfa
랜드엔드	Lands End
랜스피어 성 내부	Rensphere Castle Inside
랜스피어 성주 사냥터	Rensphere Secret Dungeon
랜스피어 성주 사냥터 입구	Rensphere Secret Dungeon Entrance
랜스피어_성주_사냥터	Rensphere Secret Dungeon
랜스피어_성주_사냥터_입구	Rensphere Secret Dungeon Entrance
랜스피어성 내부	Rensphere Inside
러스트뷰린산	Lustbiurin Mountain
러프풋 땅	Lufut Land
레더후드	Redderhood
레비나일 강	Rabinile River
레비나일강 	Rabinile River
레비나일강입구	Rabinile River Entrance
레인라이크	Rainreich
렌스피어 남서쪽	Rensphere Southwest Area
렌스피어 남쪽	Rensphere Southern Area
렌스피어 내부	Rensphere Inside
렌스피어 내성	Rensphere Internal Castle
렌스피어 동쪽	Rensphere Eastern Area
렌스피어 서쪽	Rensphere Western Area
렌스피어 성	Rensphere Castle
렌스피어 성 인근	Rensphere Castle Vicinity
렌스피어 외성	Rensphere External Castle
렌스피어_성	Rensphere Castle
렌스피어_성_인근	Rensphere Castle Vicinity
렌즈론	Rensron
로만 파르칼	Ancient Parkal
롱페이_수련장	Lungfei Dojo
루나웨이 습지대	Lunaway Swamp
루나웨이강	Lunaway River
루시아스	Lucious
루아아라	Rualala 
루클리아 아메	Rucklia Amae
룽페이 수련장	Lungfei Dojo
룽페이수련장	Lungfei Dojo
리자드맨의 발톱	Lizardman's claw
리자드맨의_발톱	Lizardman's claw
마다가르 파이프	Madagar Pipe
마다가르_파이프	Madagar Pipe
마른강 평원	Dusty Creek
마스트코트	Mastcot
망자의 묘	Grave of the Dead
망자의 절벽	Dead Cliff
망치계곡	Hammer Valley
매의고원	Hawk's Plateau
맹세의 방	Chamber of Oath
맹세의_방	Chamber of Oath
메멘토뉴엄	Mementonium
메테오라	Meteora
멜기노 산맥	Melgino Mountains
멜트라인	Meltline
멤브레덴	Membreathen
멤브레덴 남쪽	Membreathen Southern
멤브레덴 동쪽	Membreathen Eastern
멤브레덴 서쪽	Membreathen Western
멤브레덴 입구	Membreathen Entrance
멤브레덴_남쪽	Membreathen Southern
멤브레덴_동쪽	Membreathen Eastern
멤브레덴_서쪽	Membreathen Western
멧돼지사냥터	Boar Field
모라비아요새	Morabia Fortress
모르트수로	Mort Waterway
모험도전지	Evor
무한 지대	Infinity Hunt Event
무한 지대 마을	Infinity Hunt Event Town
무한_지대	Infinity Hunt Event
무한_지대_마을	Infinity Hunt Event Town
무한의 수차	Infinite Mill
문엘프 요새	Moon Elf Fortress
문엘프 요새 입구	Moon Elf Fortress
문엘프 지역	Moon Elf Zone
문엘프_요새	Moon Elf Fortress
문엘프요새	Moon Elf Fortress
문엘프지역	Moon Elf Zone
물의 길	Water Road
물의 쉬라인	Water Shrine
물의 쉬라인 드래곤시온지역	Water Shrine Dragonscion Zone
물의 쉬라인 문엘프지역	Water Shrine Moon Elf Zone
물의 쉬라인 오크지역	Water Shrine Orc Zone
물의 쉬라인 외곽	Water Shrine Outskirts
물의 쉬라인 포탈(문엘프)	Water Shrine(MoonElf)
물의 쉬라인 포탈(시온)	Water Shrine(Scion)
물의 쉬라인 포탈(오크)	Water Shrine(Orc)
물의 쉬라인 포탈(휴먼)	Water Shrine(Human)
물의 쉬라인 휴먼지역	Water Shrine Human Zone
미라지안 호수	Mirasian Lake
미련의 방	Chamber of Regret
바라평원	Bala Plain
바란다이크	Baran Dyke
바란다이크1요새	Baran Dyke Fortress One 
바란다이크2요새	Baran Dyke Fortress Two
바란다이크3요새	Baran Dyke Fortress Three
바람의 계곡	Wind Valley
바람의 쉬라인	Wind Shrine
바람의 쉬라인 드래곤시온지역	Wind Shrine Dragonscion Zone
바람의 쉬라인 문엘프지역	Wind Shrine Moon Elf Zone
바람의 쉬라인 오크지역	Wind Shrine Orc Zone
바람의 쉬라인 외곽	Wind Shrine Outskirts
바람의 쉬라인 포탈(문엘프)	Wind Shrine(MoonElf)
바람의 쉬라인 포탈(시온)	Wind Shrine(Scion)
바람의 쉬라인 포탈(오크)	Wind Shrine(Orc)
바람의 쉬라인 포탈(휴먼)	Wind Shrine(Human)
바람의 쉬라인 휴먼지역	Wind Shrine Human Zone
바람평원	Wind Plain
바르도터	Bardother
바르도터_남쪽	Bardother Southern
바르도터_동쪽	Bardother Eastern
바르도터_북쪽	Bardother Northern
바르도터_서쪽	Bardother Western
바르도터남쪽	Bardother Southern
바르도터동쪽	Bardother Eastern
바르도터북쪽	Bardother Northern
바르도터서쪽	Bardother Western
바트나유적지	Battna Site
반목의 방	Chamber of Enmity
반목의_방	Chamber of Enmity
반목의_방2	2 Chamber of Enmity
발러의 왕좌	Balor's Throne
발러의_왕좌	Balor's Throne
발브르언덕	Valbur Hill
방랑자평야	Wanderer Plain
방문자의 숲	Visitor's Forest
배틀 로얄	Battle Royal
배틀 로얄 경기장	Battle Royal Arena
배틀 로얄 관중석	Battle Royal Bleachers
배틀 스퀘어 1층	Battle Square 1st Floor
배틀 스퀘어 2층	Battle Square 2nd Floor
배틀 스퀘어 3층	Battle Square 3rd Floor
배틀 스퀘어 4층	Battle Square 4th Floor
배틀 스퀘어 5층	Battle Square 5th Floor
배틀 스퀘어 6층	Battle Square 6th Floor
배틀_로얄_경기장	Battle Royal Arena
배틀_로얄_관중석	Battle Royal Bleachers
배틀게이트 골룬도	Golundo Battle Gate
배틀게이트 노린	Norine Battlegate 
배틀게이트 데리벨	Deribelle Battlegate 
배틀게이트 델파라스	Delfaras Battlegate
배틀게이트 라프레시아	Laflesia Battlegate 
배틀게이트 스톨	Stull Battlegate
배틀게이트 앵커빌	Anchorville Battlegate
배틀게이트 엘로르	Ellore Battlegate
배틀게이트 자일록	Zylok Battlegate 
배틀게이트 쿤	Kuhn Battlegate 
배틀게이트 토르요새	Tor Fortress Battlegate 
배틀게이트 툴란	Tullan Battlegate 
배틀게이트 트릴가드	Trilgard Battlegate 
배틀그라운드	Battle Ground
배틀로얄 경기장	Battle Royal Arena
배틀로얄_경기장	Battle Royal Arena
배틀로얄_관중석	Battle Royal Bleachers
배틀스퀘어	Battlesquare
배틀스퀘어 1층	Battle Square 1st Floor
배틀스퀘어 2층	Battle Square 2nd Floor
배틀스퀘어 3층	Battle Square 3rd Floor
배틀스퀘어 4층	Battle Square 4th Floor
배틀스퀘어 5층	Battle Square 5th Floor
배틀스퀘어 6층	Battle Square 6th Floor
배틀스퀘어 <분노의 문>	Gate of Rage
배틀스퀘어 <분열의 문>	Gate of Division
배틀스퀘어 <슬픔의 문>	Gate of Sadness
배틀스퀘어 <탐욕의 문>	Gate of Greed
배틀스퀘어_1층	Battle Square 1st Floor
배틀스퀘어_2층	Battle Square 2nd Floor
배틀스퀘어_3층	Battle Square 3rd Floor
배틀스퀘어_4층	Battle Square 4th Floor
배틀스퀘어_5층	Battle Square 5th Floor
배틀스퀘어_6층	Battle Square 6th Floor
뱀파이어 마을	Vampire Village
뱀파이어_마을	Vampire Village
뱀파이어마을	Vampire Village
버려진 과수원	Abandoned Orchard
번개 정령계	Teslon Outpost
번개_정령계	Teslon Outpost
번개의 쉬라인	Lightning Shrine
번개의 쉬라인 드래곤시온지역	Lightning Shrine Dragonscion Zone
번개의 쉬라인 문엘프지역	Lightning Shrine Moon Elf Zone
번개의 쉬라인 오크지역	Lightning Shrine Orc Zone
번개의 쉬라인 외곽	Lightning Shrine Outskirts
번개의 쉬라인 포탈(문엘프)	Lightning Shrine Portal(MoonElf)
번개의 쉬라인 포탈(시온)	Lightning Shrine Portal(Scion)
번개의 쉬라인 포탈(오크)	Lightning Shrine Portal(Orc)
번개의 쉬라인 포탈(휴먼)	Lightning Shrine Portal(Human)
번개의 쉬라인 휴먼지역	Lightning Shrine Human Zone
번뇌의 방	Chamber of Agony
번뇌의_방	Chamber of Agony
범프필드	Bump Field
범프필드 북쪽	Northern Ridge Field 
베르아크분지	Verark Basin
베이컨마을	Beacon Village
베틀그라운드	Battle Ground
베틀그라운드_드래곤시온지역	Battle Ground DragonScion Territory
베틀그라운드_문엘프지역	Battle Ground Moon Elf Zone
베틀그라운드_오크지역	Battle Ground Orc Zone
베틀그라운드_휴먼지역	Battle Ground Human Zone
베틀로얄_관중석	Battle Royal Bleachers
베틀로얄경기장	Battle Royal Arena
베틀스퀘어	Battlesquare
벨리가분지	Belliga Basin
벨제루크	Belzeruk
벨제루크 동부	East Belzeruk
벨제루크 북서부	Northwest Belzeruk
보석의 땅	Jewel Land
보화의 골짜기	Treasure Valley
보화의_골짜기	Treasure Valley
복수의 방	Vengeance Chamber
복수의_방	Vengeance Chamber
복수의_방2	Vengeance 2 Chamber
복수의_방4	Vengeance 4 Chamber
봉인된 광산 1층	Sealed Mine Ground Floor
봉인된 광산 1층 입구	Sealed Mine Ground Floor Entrance
봉인된 광산 2층	Sealed Mine 1st Floor 
봉인된 광산 2층 입구	Sealed Mine 1st Floor Entrance
봉인된 광산 3층	Sealed Mine 2nd Floor
봉인된 광산 3층 입구	Sealed Mine 2nd Floor
봉인된_광산_1층	Sealed Mine Ground Floor
봉인된_광산_2층	Sealed Mine 1st Floor 
봉인된_광산_3층	Sealed Mine 2nd Floor
북쪽땅의 사원	Northern Temple 
북트라이부츠산맥	Buktributs Mountains
분노의 문	Gate of Rage
분노의 문2	2 Gate of Rage
분노의 문3	3 Gate of Rage
분노의 문4	4 Gate of Rage
분노의 문5	5 Gate of Rage
분노의 문6	6 Gate of Rage
분노의_문	Gate of Rage
분노의_문2	2 Gate of Rage
분노의_문3	3 Gate of Rage
분노의_문4	4 Gate of Rage
분노의_문5	5 Gate of Rage
분노의_문6	6 Gate of Rage
분란의 방	Chamber of Disorder
분열의 문	Gate of Division
분열의 문2	2 Gate of Division
분열의 문3	3 Gate of Division
분열의 문4	4 Gate of Division
분열의 문5	5 Gate of Division
분열의 문6	6 Gate of Division
분열의_문	Gate of Division
분열의_문2	2 Gate of Division
분열의_문3	3 Gate of Division
분열의_문4	4 Gate of Division
분열의_문5	5 Gate of Division
분열의_문6	6 Gate of Division
불꽃의 지역	Flames of Zone
불꽃의 지옥	Flames of Hell
불꽃의_지역	Flames of Zone
불꽃의_지옥	Flames of Hell
불란트부화장	Bullant Hatchery
불의 쉬라인	Fire Shrine
불의 쉬라인 드래곤시온지역	Fire Shrine Dragonscion Zone
불의 쉬라인 문엘프지역	Fire Shrine Moon Elf Zone
불의 쉬라인 오크지역	Fire Shrine Orc Zone
불의 쉬라인 외곽	Fire Shrine Outskirts
불의 쉬라인 포탈(문엘프)	Fire Shrine(MoonElf)
불의 쉬라인 포탈(시온)	Fire Shrine(Scion)
불의 쉬라인 포탈(오크)	Fire Shrine(Orc)
불의 쉬라인 포탈(휴먼)	Fire Shrine(Human)
불의 쉬라인 휴먼지역	Fire Shrine Human Zone
붉은 궁륭	Red groin
붉은 자갈길	Red Stone Road
블루리버강	Blue River 
비고로르	Vigorore
비고로르_남서쪽	Vigorore South Western
비고로르_남쪽	Vigorore Southern
비고로르_동쪽	Vigorore Eastern
비고로르_서쪽	Vigorore Western
비고로르남서쪽	Vigorore South Western
비고로르남쪽	Vigorore Southern
비고로르동쪽	Vigorore Eastern
비고로르서쪽	Vigorore Western
비난의 방	Chamber of Censure
비명의 숲	Forest of Scream
비명의_숲	Forest of Scream
비밀의 사원	Secret Temple
비애의 방	Chamber of Sorrow
빙헬	Veihel
사냥꾼의 숲	Hunter's Forest
사라미스 정원	Salarmis Garden
사라미스의 정원	Salarmis Garden
사리엔드	Sariend
사막족 마을	Desert Tribe Village
사막족의 땅	Desert Tribe Land
사신의 평원	Death Plain
사자의 여왕	Queen of Lion
사자의 예배당	Chapel of The Dead
사자의_예배당	Chapel of The Dead
사형장	Execution Ground
산적마을	Bandit Village
삼각 마을	Triangle Village
삼각_마을	Triangle Village
삼각마을	Triangle Village
상실의 땅	Land of Loss
상아무덤마을	Ivory Grave Village
상인의 계곡	Merchant Valley
새의낙원	Bird's Heaven
새의둥지	Bird's Nest
생명의 핏줄	Bloodline of Life
생명의_핏줄	Bloodline of Life
생사의 경계지	Boundary of Life
샤인우드	Shinewood
석양의해변	Evening Sea
세벤트의 둥지	Cevent's Nest
세벤트의_둥지	Cevent's Nest
셤프마을	Shump Village
셤프마을 남쪽	South of Shump Village
속죄의 방	Chamber of Atone
속죄의_방	Chamber of Atone
솔시드산맥	Solcid Mountains
솔시드석조	Solcid Sunset
숨죽인 유적	Muted Site
숭배자 정착지	Worshipper Settlement
숭배자정착지	Worshipper Settlement
쉬버스	Sheerbus
쉽헤드해안	Shiphead Seashore
스릴킬	Srilkil
스톨	Stull
스톨 길드 전투 경기장	Stull Guild Battle Arena
스톨 신전	Stull temple
스톨 행 포탈	Portal bound for Stull
스톨_길드_전투_경기장	Stull Guild Battle Arena
스톰로드	Storm Road
스톰하이드산맥	Stormhide Mountains
슬픔의 문	Gate of Sadness
슬픔의 문2	2 Gate of Sadness
슬픔의 문3	3 Gate of Sadness
슬픔의 문4	4 Gate of Sadness
슬픔의 문5	5 Gate of Sadness
슬픔의 문6	6 Gate of Sadness
슬픔의_문	Gate of Sadness
슬픔의_문2	2 Gate of Sadness
슬픔의_문3	3 Gate of Sadness
슬픔의_문4	4 Gate of Sadness
슬픔의_문5	5 Gate of Sadness
슬픔의_문6	6 Gate of Sadness
습지대 입구	Swamp Entrance
승화의 계단	Stairs of Sublimation
시간의 사당	Temple of Time
시간이정지한 곳	Time Warp Area
시련의 길	Road of Trials
시련의 동굴 2층 입구	Cave of Trials 1st Floor Entrance
시련의 동굴 2층 출구	Cave of Trials 1st Floor Exit
시련의 동굴 입구	Cave of Trials Entrance
시련의 동굴 출구	Cave of Trials Exit
시련의 동굴1층	Cave of Trials Ground Floor
시련의 동굴2층	Cave of Trials 1st Floor
시련의 방	Hero's Reception
시련의 입구	Gate of Trials
시련의_길	Road of Trials
시련의_동굴1층	Cave of Trials Ground Floor
시련의_동굴2층	Cave of Trials 1st Floor
시련의_동굴_1층	Cave of Trials Ground Floor
시련의_동굴_2층	Cave of Trials 1st Floor
시련의_방	Hero's Reception
시로코고 천문관측소	Sirokogo Observatory
시리푸스의 쉬라인	Syripus Shrine
시리푸스의 쉬라인 문엘프지역	Syripus Shrine Moon Elf Zone
시리푸스의 쉬라인 시온지역	Syripus Shrine scion Zone
시리푸스의 쉬라인 오크지역	Syripus Shrine Orc Zone
시리푸스의 쉬라인 외곽	Syripus Shrine Outskirts
시리푸스의 쉬라인 포탈(문엘프)	Syripus Shrine(MoonElf)
시리푸스의 쉬라인 포탈(시온)	Syripus Shrine(Scion)
시리푸스의 쉬라인 포탈(오크)	Syripus Shrine(Orc)
시리푸스의 쉬라인 포탈(휴먼)	Syripus Shrine(Human)
시리푸스의 쉬라인 휴먼지역	Syripus Shrine Human Zone
시엔	Cien
시엔 마을	Cien Village
실란시움	Silancium
십년사막	Ten Year Desert
싱잉레인	Mist Plain
쐐기삼각지	The Span
아르시안 내부	Arthian Castle Inside 
아르시안 내성문	Arthian Internal Gate
아르시안 렌스피어 입구	Arthian Entrance
아르시안 비밀의 던전	Arthian Castle's Secret Dungeon
아르시안 비밀의 던전 입구	Arthian Castle's Secret Dungeon
아르시안 성	Arthian Castle
아르시안 성 내부	Arthian Inside
아르시안 성 성주 사냥터	Arthian Castle Secret Dungeon
아르시안 성 인근	Arthian Castle Vicinity
아르시안 성 진입로	Arthian approach
아르시안 성주 사냥터	Arthian Secret Dungeon
아르시안 성주 사냥터 입구	Arthian Secret Dungeon Entrance
아르시안 외성문	Arthian External Gate
아르시안 행 포탈	Portal bound for Arthian
아르시안_성	Arthian Castle
아르시안_성_인근	Arthian Castle Vicinity
아르시안_성주_사냥터	Arthian Secret Dungeon
아르시안_성주_사냥터_입구	Arthian Secret Dungeon Entrance
아뮤네시아	Amunesia
아지랑이물가	Shimmerside
악몽의 골짜기	Nightmare Valley
알게마분지	Algema Basin
알현의 방	Audience Chamber
알현의_방	Audience Chamber
앙스펠호수	Angspel Lake
앵커빌	Anchorville
앵커빌 마을	Anchorville Village
야아란	Yaran
약탈의 평원	Zeno Plain
얼음 정령계	The Frozen Infinity
얼음_정령계	The Frozen Infinity
얼음의 대지	Land of Ice
얼음의_대지	Land of Ice
에리엘	Ariel
에저로크	Ezerock
에저로크_남쪽	Ezerock Southern
에저로크남쪽	Ezerock Southern
엘로르	Ellore
엘로함망루	Elloham Watchtower
엘로힘 망루	Elloham Watchtower
엘로힘_망루	Elloham Watchtower
엘로힘망루	Elloham Watchtower
엘름볼트	Elmbolt
엘름볼트계곡	Elmbolt Valley
엘리시온	Elyscion
엘리시온 동쪽	Elyscion Eastern Area
엘리시온_남쪽	Elyscion Southern Area
여름해변	Summer Beach
여왕의서식지	Queen's Habitat
열사의 한계	Patriot's Limit
염랑의 동굴 1층	Flame Cave Ground Floor
염랑의 동굴 1층 입구	Flame Cave Ground Floor Entrance
염랑의 동굴 1층 출구	Flame Cave Ground Floor Exit
염랑의 동굴 2층	Flame Cave 1st Floor
염랑의 동굴 2층 입구	Flame Cave 1st Floor Entrance
염랑의 동굴 입구	Flame Cave Entrance
염랑의_동굴_1층	Flame Cave Ground Floor
염랑의_동굴_1층_입구	Flame Cave Ground Floor Entrance
염랑의_동굴_1층_출구	Flame Cave Ground Floor Exit
염랑의_동굴_2층	Flame Cave 1st Floor
염랑의_동굴_2층_입구	Flame Cave 1st Floor Entrance
염랑의_동굴_입구	Flame Cave Entrance
염화의 동굴 1층	Corrosion Cave Ground Floor
염화의 동굴 1층 입구	Corrosion Cave Ground Floor Entrance
염화의 동굴 1층 출구	Corrosion Cave Ground Floor Exit
염화의 동굴 2층	Corrosion Cave 1st Floor
염화의 동굴 2층 입구	Corrosion Cave 1st Floor Entrance
염화의_동굴_1층	Corrosion Cave Ground Floor
염화의_동굴_1층_입구	Corrosion Cave Ground Floor Entrance
염화의_동굴_1층_출구	Corrosion Cave Ground Floor Exit
염화의_동굴_2층	Corrosion Cave 1st Floor
염화의_동굴_2층_입구	Corrosion Cave 1st Floor Entrance
영광의 귀환지	Glory Port
영광의 길	Path of Glory
영원동산	Eternal Hill
영원의 제국	Eternal Empire
옛사원 터	Old Temple 
옛항구터	Old Harbor
오드오브	Old Orb
오래된 광산	Old Mine
오래된 광산 1층 입구	Old Mine Ground Floor Entrance
오래된 광산 1층 출구	Old Mine Ground Floor Exit
오래된 광산 2층 입구	Old Mine 1st Floor Entrance
오래된 광산 2층 출구	Old Mine 1st Floor Exit
오래된 광산 3층 입구	Old Mine 2nd Floor Entrance
오래된 광산 입구	Old Mine Entrance
오래된 광산 출구	Old Mine Exit
오래된 땅	Thistle Vale
오래된 천막촌	Settlers Camp
오래된_광산	Old Mine
오래된_광산_2층_입구	Old Mine 1st Floor Entrance
